x,y
114.083135,22.905077
114.083138,22.905076
114.083136,22.905073
114.083122,22.905077
114.083175,22.905079
114.083165,22.905077
114.083185,22.905067
114.083192,22.905087
114.083115,22.905095
114.083122,22.905058
114.083548,22.902948
114.083549,22.902949
114.083553,22.902956
114.083551,22.902951
114.083552,22.902952
114.083553,22.902953
114.083554,22.902954
114.083555,22.902955
114.083556,22.902956
114.083557,22.902957
114.083558,22.902958
114.085564,22.912574
114.085565,22.912575
114.085566,22.912576
114.085567,22.912577
114.085568,22.912578
114.085569,22.912579
114.085576,22.912582
114.085571,22.912581
114.085413,22.912197
114.085414,22.912198
114.085415,22.912199
114.085416,22.912204
114.085417,22.912201
114.085418,22.912202
114.085419,22.912203
114.085426,22.912204
114.084805,22.912095
114.084806,22.912096
114.084807,22.912097
114.084808,22.912098
114.084809,22.912099
114.084818,22.912106
114.084515,22.911791
114.084516,22.911792
114.084517,22.911793
114.084518,22.911794
114.084519,22.911795
114.084521,22.911796
114.084521,22.911797
114.084612,22.911642
114.084613,22.911643
114.084614,22.911644
114.084615,22.911645
114.084616,22.911646
114.084617,22.911647
114.084642,22.911321
114.084643,22.911322
114.084644,22.911323
114.084645,22.911324
114.084646,22.911325
114.084647,22.911326
114.084648,22.911327
114.084377,22.910918
114.084378,22.910919
114.084379,22.910922
114.084384,22.910921
114.084381,22.910922
114.084382,22.910923
114.084383,22.910924
114.084075,22.912015
114.084076,22.912016
114.084077,22.912017
114.084078,22.912018
114.084079,22.912019
114.084081,22.912024
114.084081,22.912021
114.084082,22.912022
114.084285,22.912343
114.084286,22.912344
114.084287,22.912345
114.084288,22.912346
114.081688,22.911762
114.081689,22.911763
114.081696,22.911764
114.081691,22.911765
114.081692,22.911766
114.081693,22.911767
114.081694,22.911768
114.082165,22.911052
114.082166,22.911053
